pageid,ns,title,index,coordinates,imagerepository,imageinfo,coordinates.1.lat,coordinates.1.lon,coordinates.1.primary,coordinates.1.bearing,query_lat,query_lon,radius
29710849,6,File:Rocourt Gemeentehuis.jpg,19,"[{'lat': 50.6799, 'lon': 5.54781389, 'primary': True}]",,,,,,,50.716847144862456,5.518089113176313,5000
29711173,6,File:Rocourt - Maternité.jpg,20,"[{'lat': 50.68504167, 'lon': 5.55043056, 'primary': True}]",,,,,,,50.716847144862456,5.518089113176313,5000
29711457,6,File:Rocourt - Ancienne gare - RaVel.jpg,21,"[{'lat': 50.68117778, 'lon': 5.54517778, 'primary': True}]",,,,,,,50.716847144862456,5.518089113176313,5000
29850861,6,File:Rocourt - Kruispunt.jpg,22,"[{'lat': 50.67618056, 'lon': 5.54605833, 'primary': True}]",,,,,,,50.716847144862456,5.518089113176313,5000
35396219,6,File:Château de Waroux - ANS - Belgique (1).JPG,23,"[{'lat': 50.682238, 'lon': 5.492915, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%281%29.JPG/320px-Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%281%29.JPG', 'thumbwidth': 320, 'thumbheight': 213, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%281%29.JPG/480px-Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%281%29.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%281%29.JPG/639px-Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%281%29.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/5/53/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%281%29.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_(1).JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=35396219'}]",,,,,50.716847144862456,5.518089113176313,5000
35396220,6,File:Château de Waroux - ANS - Belgique (3).JPG,24,"[{'lat': 50.682238, 'lon': 5.492915, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%283%29.JPG/320px-Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%283%29.JPG', 'thumbwidth': 320, 'thumbheight': 222, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%283%29.JPG/480px-Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%283%29.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%283%29.JPG/640px-Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%283%29.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/b/b3/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%283%29.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_(3).JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=35396220'}]",,,,,50.716847144862456,5.518089113176313,5000
35396221,6,File:Château de Waroux - ANS - Belgique (2).JPG,25,"[{'lat': 50.682238, 'lon': 5.492915, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%282%29.JPG/320px-Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%282%29.JPG', 'thumbwidth': 320, 'thumbheight': 480, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%282%29.JPG/480px-Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%282%29.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%282%29.JPG/640px-Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%282%29.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/4/42/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%282%29.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_(2).JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=35396221'}]",,,,,50.716847144862456,5.518089113176313,5000
35396224,6,File:Château de Waroux - ANS - Belgique (4).JPG,26,"[{'lat': 50.682238, 'lon': 5.492915, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%284%29.JPG/320px-Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%284%29.JPG', 'thumbwidth': 320, 'thumbheight': 226, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%284%29.JPG/480px-Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%284%29.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%284%29.JPG/640px-Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%284%29.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/1/1d/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%284%29.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_(4).JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=35396224'}]",,,,,50.716847144862456,5.518089113176313,5000
35396227,6,File:Château de Waroux (la ferme et dépendances) - Ans- Belgique.JPG,27,"[{'lat': 50.682238, 'lon': 5.492915, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Ch%C3%A2teau_de_Waroux_%28la_ferme_et_d%C3%A9pendances%29_-_Ans-_Belgique.JPG/320px-Ch%C3%A2teau_de_Waroux_%28la_ferme_et_d%C3%A9pendances%29_-_Ans-_Belgique.JPG', 'thumbwidth': 320, 'thumbheight': 213, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Ch%C3%A2teau_de_Waroux_%28la_ferme_et_d%C3%A9pendances%29_-_Ans-_Belgique.JPG/480px-Ch%C3%A2teau_de_Waroux_%28la_ferme_et_d%C3%A9pendances%29_-_Ans-_Belgique.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Ch%C3%A2teau_de_Waroux_%28la_ferme_et_d%C3%A9pendances%29_-_Ans-_Belgique.JPG/639px-Ch%C3%A2teau_de_Waroux_%28la_ferme_et_d%C3%A9pendances%29_-_Ans-_Belgique.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/2/23/Ch%C3%A2teau_de_Waroux_%28la_ferme_et_d%C3%A9pendances%29_-_Ans-_Belgique.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Ch%C3%A2teau_de_Waroux_(la_ferme_et_d%C3%A9pendances)_-_Ans-_Belgique.JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=35396227'}]",,,,,50.716847144862456,5.518089113176313,5000
35396228,6,File:Château de Waroux - ANS - Belgique (5).JPG,28,"[{'lat': 50.682238, 'lon': 5.492915, 'primary': True}]",local,"[{'thumburl': 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%285%29.JPG/320px-Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%285%29.JPG', 'thumbwidth': 320, 'thumbheight': 213, 'responsiveUrls': {'1.5': 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%285%29.JPG/480px-Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%285%29.JPG', '2': 'https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%285%29.JPG/639px-Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%285%29.JPG'}, 'url': 'https://upload.wikimedia.org/wikipedia/commons/6/6a/Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_%285%29.JPG', 'descriptionurl': 'https://commons.wikimedia.org/wiki/File:Ch%C3%A2teau_de_Waroux_-_ANS_-_Belgique_(5).JPG', 'descriptionshorturl': 'https://commons.wikimedia.org/w/index.php?curid=35396228'}]",,,,,50.716847144862456,5.518089113176313,5000
