image_path,predicted_score
data/processed/wikimedia_commons/images/DE/ns6/7236/File:Karow-Gatterweg2-.jpeg,2.7791848
data/processed/wikimedia_commons/images/FR/ns6/34266/File:Plaque Rue Mozart - Noisy-le-Grand (FR93) - 2021-10-10 - 2.jpeg,2.6313171
data/processed/wikimedia_commons/images/BE/ns6/613/File:Woning Bellemdorpweg 54.jpeg,2.704548
"data/processed/wikimedia_commons/images/HU/ns6/195/File:Dózsa György út 24, 2019 Mezőtúr.jpeg",2.2020223
"data/processed/wikimedia_commons/images/PL/ns6/1061/File:Grójec, Stacja Grójec - fotopolska.eu (241276).jpeg",2.9545765
data/processed/wikimedia_commons/images/FR/ns6/35277/File:Pantheon (5684076077).jpeg,2.5462413
data/processed/wikimedia_commons/images/DE/ns6/5247/File:Kloster Germerode mit Torhaus von N.jpeg,2.883375
data/processed/wikimedia_commons/images/IT/ns6/2494/File:DSC06395-01.jpeg,2.5605085
"data/processed/wikimedia_commons/images/DE/ns6/5819/File:2017-09-03 Ruhrstraße 7, Essen-Kettwig (NRW).jpeg",2.4871573
data/processed/wikimedia_commons/images/DE/ns6/7633/File:Hütten Nr. 2.jpeg,2.5816545
data/processed/wikimedia_commons/images/DE/ns6/3538/File:JCRG Hof vom 10.11.2018 066.jpeg,2.1655228
"data/processed/wikimedia_commons/images/LT/ns6/295/File:Užtiltė, Lithuania - panoramio (69).jpeg",2.7541904
data/processed/wikimedia_commons/images/PL/ns6/1/File:Дзвіниця Михайлівської церкви (дер.) 1745 р. Ужок 7769-HDR.jpeg,2.8325067
data/processed/wikimedia_commons/images/FR/ns6/38634/File:Saint lo laitière normandie illumination noel.jpeg,2.3627727
data/processed/wikimedia_commons/images/PL/ns6/1829/File:Podlaskie - Sokółka - Gieniusze stacja - EN57-775 20110918 02.jpeg,2.533011
data/processed/wikimedia_commons/images/DE/ns6/7447/File:Lancia Delta HF Integrale 16v (Group A) (52835368693).jpeg,2.0414329
data/processed/wikimedia_commons/images/FR/ns6/20553/File:2021-07-21 16-41-18 tour-alsace-Sausheim.jpeg,2.267115
data/processed/wikimedia_commons/images/CH/ns6/245/File:Gotthard Train Tunnel (History) (52100742091).jpeg,2.3934996
"data/processed/wikimedia_commons/images/LV/ns6/325/File:Talsi, Talsu pilsēta, Latvia - panoramio (5).jpeg",2.6661124
data/processed/wikimedia_commons/images/UK/ns6/156/File:Fordmoor Cross - geograph.org.uk - 2850836.jpeg,2.5079732
data/processed/wikimedia_commons/images/DE/ns6/5926/File:Blick vom City-Hochhaus Leipzig 03.jpeg,2.5592465
"data/processed/wikimedia_commons/images/DE/ns6/2142/File:Domažlice, Masarykova, od nádraží k městu.jpeg",2.5059524
"data/processed/wikimedia_commons/images/CZ/ns6/2376/File:Postoloprty, Jiráskovo náměstí, garáže (004).jpeg",2.9956143
data/processed/wikimedia_commons/images/CZ/ns6/2047/File:Záměl - čp. 109.jpeg,2.8320744
